english,engtrans,arabic,hindi,urdu,cue
"لَئِنْ طَالَبْتَنِي بِذُنُوبِي لَاطَالِبَنَّكَ بِعَفْوِكَ","If You interrogate me for my meanness, I will demand with Your kindness.","wa la'in talabtanee bilu'mee la'utalibannaka bikaramika",,,
"وَلَئِنْ طَالَبْتَنِي بِلُؤْمِي لَاطَالِبَنَّكَ بِكَرَمِكَ","If You order me to Hellfire, I will tell all the inhabitants therein that I love You.","wa la'in adkhaltanee alnnara la'ukhbiranna ahla alnnari bihubbee laka",,,
"وَلَئِنْ ادْخَلْتَنِي ٱلنَّارَ َلاخْبِرَنَّ اهْلَ ٱلنَّارِ بِحُبِّي لَكَ","O my God and Master, if you forgive only Your intimate servants and those who obey You,","ilahee wa sayyidee in kunta la taghfiru illa li'awliya'ika wa ahli ta`atika",,,
"إِلٰهِي وَسَيِّدِي إِنْ كُنْتَ لاَ تَغْفِرُ إِلاَّ لاوْلِيَائِكَ وَاهْلِ طَاعَتِكَ","to whom then will the sinful resort?","fa'ila man yafza`u almudhnibuna",,,
"فَإِلَىٰ مَنْ يَفْزَعُ ٱلْمُذْنِبُونَ","If You honor none but those who act loyally to You,","wa in kunta la tukrimu illa ahla alwafa'i bika",,,
"وَإِنْ كُنْتَ لاَ تُكْرِمُ إِلاَّ اهْلَ ٱلْوَفَاءِ بِكَ","then whose shelter will the evildoers seek?","fabiman yastagheethu almusee'una",,,
"فَبِمَنْ يَسْتَغِيثُ ٱلْمُسِيئُونَ","O my God, if You decide to put me in Hellfire, this will definitely please Your enemies!","ilahee in adkhaltanee alnnara fafee dhalika sururu `aduwwika",,,
"إِلٰهِي إِنْ ادْخَلْتَنِي ٱلنَّارَ فَفِي ذٰلِكَ سُرُورُ عَدُوِّكَ","But if You decide Paradise for me, then this will certainly please Your Prophet!","wa in adkhaltanee aljannata fafee dhalika sururu nabiyyika",,,
"وَإِنْ ادْخَلْتَنِي ٱلْجَنَّةَ فَفِي ذٰلِكَ سُرُورُ نَبِيِّكَ","And I—by Allah I swear it—know for sure that the pleasure of Your Prophet is more favorable for You than the pleasure of Your enemies.","wa ana wallahi a`lamu anna surura nabiyyika ahabbu ilayka min sururi `aduwwika",,,
"وَانَا وَٱللَّهِ اعْلَمُ انَّ سُرُورَ نَبِيِّكَ احَبُّ إِلَيْكَ مِنْ سُرُورِ عَدُوِّكَ","O Allah, I pray You for filling my heart with love for You,","allahumma innee as'aluka an tamla'a qalbee hubban laka",,,
"اَللَّهُمَّ إِنِّي اسْالُكَ انْ تَمْلا قَلْبِي حُبّاً لَكَ","with fear of You,","wa khashyatan minka",,,
"وَخَشْيَةً مِنْكَ","with belief in Your Book,","wa ta¥deeqan bikitabika",,,
"وَتَصْدِيقاً بِكِتَابِكَ","with faith in You,","wa eemanan bika",,,
"وَإِيـمَاناً بِكَ","with dread from You,","wa faraqan minka",,,
"وَفَرَقاً مِنْكَ","and with eagerness to You.","wa shawqan ilayka",,,
"وَشَوْقاً إِلَيْكَ","O Lord of Glory and Honor, (please do) make me love meeting You,","ya dha aljalali wal-ikrami habbib ilayya liqa'aka",,,
"يَا ذَا ٱلْجَلالِ وَٱلإِكْرَامِ حَبِّبْ إِلَيَّ لِقَاءَكَ","(please do) love my meeting,","wa ahbib liqa'ee",,,
"وَاحْبِبْ لِقَائِي","and make my meeting You entail comfort, relief, and honoring.","waj`al lee fee liqa'ika alrrahata walfaraja walkaramata",,,
"وَٱجْعَلْ لِي فِي لِقَائِكَ ٱلرَّاحَةَ وَٱلْفَرَجَ وَٱلْكَرَامَةَ","O Allah, join me with the righteous ones among the past generations,","allahumma alhiqnee bi¥alihi man maa",,,
"اَللَّهُمَّ الْحِقْنِي بِصَالِحِ مَنْ مَضَىٰ","include me with the righteous ones of this generation, guide me to the path of the righteous ones,","waj`alnee min ¥alihi man baqiya wa khudh bee sabeela al¥¥aliheena",,,
"وَٱجْعَلْنِي مِنْ صَالِحِ مَنْ بَقِيَ وَخُذْ بِي سَبِيلَ ٱلصَّالِحِينَ","help me against myself in just as You help the righteous ones control themselves,","wa a`innee `ala nafsee bima tu`eenu bihee al¥¥aliheena `ala anfusihim",,,
"وَاعِنِّي عَلَىٰ نَفْسِي بِمَا تُعِينُ بِهِ ٱلصَّالِحِينَ عَلَىٰ انْفُسِهِمْ","seal my deed with the best of it,","wakhtim `amalee bi'ahsanihee",,,
"وَٱخْتِمْ عَمَلِي بِاحْسَنِهِ","decide Paradise as the reward of my deeds on account of Your mercy,","waj`al thawabee minhu aljannata birahmatika",,,
"وَٱجْعَلْ ثَوَابِي مِنْهُ ٱلْجَنَّةَ بِرَحْمَتِكَ","help me manage the good things that You have endowed upon me,","wa a`innee `ala ¥alihi ma a`taytanee",,,
"وَاعِنِّي عَلَىٰ صَالِحِ مَا اعْطَيْتَنِي","make me firm, O Lord, and do not make me return to evildoing after You have saved me from it.","wa thabbitnee ya rabbi wa la taruddanee fee su'in istanqadhtanee minhu",,,
"وَثَبِّتْنِي يَا رَبِّ وَلاَ تَرُدَّنِي فِي سُوءٍ ٱسْتَنْقَذْتَنِي مِنْهُ","O Lord of the worlds!","ya rabba al`alameena",,,
"يَا رَبَّ ٱلْعَالَمِينَ","O Allah, I beseech You for faith that does not stop until I meet You.","allahumma innee as'aluka eemanan la ajala lahu duna liqa'ika",,,
"اَللَّهُمَّ إِنِّي اسْالُكَ إِيـمَاناً لاَ اجَلَ لَهُ دُونَ لِقَائِكَ","As long as You grant me lifetime, (please do) connect me to that faith,","ahyinee ma ahyaytanee `alayhi",,,
"احْيِنِي مَا احْيَيْتَنِي عَلَيْهِ","and when You decide to grasp my soul, make me carry that faith with me.","wa tawaffanee idha tawaffaytanee `alayhi",,,
"وَتَوَفَّنِي إِذَا تَوَفَّيْتَنِي عَلَيْهِ","When You resurrect me, make me carry it with me.","wab`athnee idha ba`athnatee `alayhi",,,
"وَٱبْعَثْنِي إِذَا بَعَثْتَنِي عَلَيْهِ","Release my heart from showing off, suspicion, and pretension in the affairs of Your religion","wa abri' qalbee min alrriya'i walshshakki walssum`ati fee deenika",,,
"وَابْرِئْ قَلْبِي مِنَ ٱلرِّيَاءِ وَٱلشَّكِّ وَٱلسُّمْعَةِ فِي دِينِكَ","so that my deed will be purely intended for Your sake.","hatta takuna `amalee khali¥an laka",,,
"حَتَّىٰ يَكُونَ عَمَلِي خَالِصاً لَكَ","O Allah, grant me discerning awareness in Your religion,","allahumma a`tinee ba¥eeratan fee deenika",,,
"اَللَّهُمَّ اعْطِنِي بَصِيرَةً فِي دِينِكَ","understanding of Your laws,","wa fahman fee hukmika",,,
"وَفَهْماً فِي حُكْمِكَ","insight in Your knowledge,","wa fiqhan fee `ilmika",,,
"وَفِقْهاً فِي عِلْمِكَ","two folds of Your mercy,","wa kiflayni min rahmatika",,,
"وَكِفْلَيْنِ مِنْ رَحْمَتِكَ","and piety that impedes me from disobeying You.","wa wara`an yahjuzunee `an ma`a¥eeka",,,
"وَوَرَعاً يَحْجُزُنِي عَنْ مَعَاصِيكَ","Make my face glitter on account of Your light,","wa bayyi wajhee binurika",,,
"وَبَيِّضْ وَجْهِي بِنُورِكَ","make me desire for nothing but that which You hold,","waj`al raghbatee feema `indaka",,,
"وَٱجْعَلْ رَغْبَتِي فِيمَا عِنْدَكَ","and when I die, make me die following Your Path and carrying the principles of Your Prophet—","wa tawaffanee fee sabeelika wa `ala millati rasulika",,,
"وَتَوَفَّنِي فِي سَبِيلِكَ وَعَلَىٰ مِلَّةِ رَسُولِكَ","Allah’s blessings be upon him and his Household.","¥alla allahu `alayhi wa ala alihee",,,
"صَلَّىٰ ٱللَّهُ عَلَيْهِ وَعَلَىٰ آلِهِ","O Allah, I seek Your protection against laziness, failure,","allahumma innee aeedhu bika min alkasali walfashali",,,
"اَللَّهُمَّ إِنِّي اعُوذُ بِكَ مِنَ ٱلْكَسَلِ وَٱلْفَشَلِ","grief, cowardice, stinginess,","walhammi waljubni walbukhli",,,
"وَٱلْهَمِّ وَٱلْجُبْنِ وَٱلْبُخْلِ","inattentiveness, brutality, poverty,","walghaflati walqaswati walmaskanati",,,
"وَٱلْغَفْلَةِ وَٱلْقَسْوَةِ وَٱلْمَسْكَنَةِ","neediness, destitution,","walfaqri walfaqati",,,
"وَٱلْفَقْرِ وَٱلْفَاقَةِ","and against all misfortunes and all shameful deeds, whether open or secret.","wa kulli baliyyatin walfawahishi ma ¨ahara minha wa ma batana",,,
"وَكُلِّ بَلِيَّةٍ وَٱلْفَوَاحِشِ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ","I seek Your protection against having unsatisfied self,","wa aeedhu bika min nafsin la taqna`u",,,
"وَاعُوذُ بِكَ مِنْ نَفْسٍ لاَ تَقْنَعُ","insatiate stomach,","wa batnin la yashba`u",,,
"وَبَطْنٍ لاَ يَشْبَعُ","fearless heart,","wa qalbin la yakhsha`u",,,
"وَقَلْبٍ لاَ يَخْشَعُ","unanswered prayers,","wa du`a'in la yusma`u",,,
"وَدُعَاءٍ لاَ يُسْمَعُ","and futile deed.","wa `amalin la yanfa`u",,,
"وَعَمَلٍ لاَ يَنْفَعُ","I ask You, O Lord, to guard myself, my religion, my properties,","wa aeedhu bika ya rabbi `ala nafsee wa deenee wa malee",,,
"وَاعُوذُ بِكَ يَا رَبِّ عَلَىٰ نَفْسِي وَدِينِي وَمَالِي","and all that which You have granted me against Satan the accursed.","wa `ala jamee`i ma razaqtanee min alshshaytani alrrajeemi",,,
"وَعَلَىٰ جَمِيعِ مَا رَزَقْتَنِي مِنَ ٱلشَّيْطَانِ ٱلرَّجِيمِ","Verily, You are the All-hearing, the All-knowing.","innaka anta alssamee`u al`aleemu",,,
"إِنَّكَ انْتَ ٱلسَّمِيعُ ٱلْعَلِيمُ","O Allah, none can ever save me against You","allahumma innahu la yujeerunee minka ahadun",,,
"اَللَّهُمَّ إِنَّهُ لاَ يُجِيرُنِي مِنْكَ احَدٌ","and I can never find any shelter against You.","wa la ajidu min dunika multahadan",,,
"وَلاَ اجِدُ مِنْ دُونِكَ مُلْتَحَداً","So, (please) do not make anything that brings about Your punishment control over me,","fala taj`al nafsee fee shay'in min `adhabika",,,
"فَلاَ تَجْعَلْ نَفْسِي فِي شَيْءٍ مِنْ عَذَابِكَ","do not let me lead myself to perdition,","wa la taruddanee bihalakatin",,,
"وَلاَ تَرُدَّنِي بِهَلَكَةٍ","and do not make me deserve the painful chastisement.","wa la taruddanee bi`adhabin aleemin",,,
"وَلاَ تَرُدَّنِي بِعَذَابٍ الِيمٍ","O Allah, accept from me,","allahumma taqabbal minnee",,,
"اَللَّهُمَّ تَقَبَّلْ مِنِّي","grant me reputation,","wa a`li dhikree",,,
"وَاعْلِ ذِكْرِي","elevate my rank,","warfa` darajatee",,,
"وَٱرْفَعْ دَرَجَتِي","exonerate my offenses,","wa huttta wizree",,,
"وَحُطَّ وِزْرِي","do not refer to me with my faults,","wa la tadhkurnee bikhatee'atee",,,
"وَلاَ تَذْكُرْنِي بِخَطِيئَتِي","let the reward of my sessions,","waj`al thawaba majlisee",,,
"وَٱجْعَلْ ثَوَابَ مَجْلِسِي","my utterance,","wa thawaba mantiqee",,,
"وَثَوَابَ مَنْطِقِي","and my prayer be Your pleasure and Paradise.","wa thawaba du`a'ee riaka waljannata",,,
"وَثَوَابَ دُعَائِي رِضَاكَ وَٱلْجَنَّةَ","Give me, O Lord, all that which I have asked for from You and grant me more favor,","wa a`tinee ya rabbi jamee`a ma sa'altuka wa zidnee min falika",,,
"وَاعْطِنِي يَا رَبِّ جَمِيعَ مَا سَالْتُكَ وَزِدْنِي مِنْ فَضْلِكَ","for I seek none but You, O Lord of the worlds!","innee ilayka raghibun ya rabba al`alameena",,,
"إِنِّي إِلَيْكَ رَاغِبٌ يَا رَبَّ ٱلْعَالَمِينَ","O Allah, You have ordered us in Your book that we should overlook those who wrong us.","allahumma innaka anzalta fee kitabika an na`fuwa `amman ¨alamana",,,
"اَللَّهُمَّ إِنَّكَ انْزَلْتَ فِي كِتَابِكَ انْ نَعْفُوَ عَمَّنْ ظَلَمَنَا","We have thus wronged ourselves; so, forgive us, for You are worthier of forgiveness than we are.","wa qad ¨alamna anfusana fa`fu `anna fa'innaka awla bidhalika minna",,,
"وَقَدْ ظَلَمْنَا انْفُسَنَا فَٱعْفُ عَنَّا فَإِنَّكَ اوْلَىٰ بِذٰلِكَ مِنَّا","You have ordered us not to reject any beggar being on our doors.","wa amartana an la narudda sa'ilan `an abwabina",,,
"وَامَرْتَنَا انْ لاَ نَرُدَّ سَائِلاً عَنْ ابْوَابِنَا","Here I am begging You; so, do not reject me; rather, respond to my need.","wa qad ji'tuka sa'ilan fala taruddanee illa biqaa'i hajatee",,,
"وَقَدْ جِئْتُكَ سَائِلاً فَلاَ تَرُدَّنِي إِلاَّ بِقَضَاءِ حَاجَتِي","You have ordered us to act nicely to those under our authorities.","wa amartana bil-ihsani ila ma malakat aymanuna",,,
"وَامَرْتَنَا بِٱلإِحْسَانِ إِلَىٰ مَا مَلَكَتْ ايْمَانُنَا","We are surely under Your authority; so, release us from Hellfire.","wa nahnu ariqqa'uka fa'a`tiq riqabana min alnnari",,,
"وَنَحْنُ ارِقَّاؤُكَ فَاعْتِقْ رِقَابَنَا مِنَ ٱلنَّارِ","O my Shelter whenever I am aggrieved!","ya mafza`ee `inda kurbatee",,,
"يَا مَفْزَعِي عِنْدَ كُرْبَتِي","O my Aid whenever hardships hit me!","wa ya ghawthee `inda shiddatee",,,
"وَيَا غَوْثِي عِنْدَ شِدَّتِي","To You have I resorted.","ilayka fazi`tu",,,
"إِلَيْكَ فَزِعْتُ","With You have I sought refuge and haven.","wa bika istaghathtu wa ludhtu",,,
"وَبِكَ ٱسْتَغَثْتُ وَلُذْتُ","To none save You shall I ever resort.","la aludhu bisiwaka",,,
"لاَ الُوذُ بِسِوَاكَ","From none save You shall I ever seek for relief.","wa la atlubu alfaraja illa minka",,,
"وَلاَ اطْلُبُ ٱلْفَرَجَ إِلاَّ مِنْكَ","So, (please do) aid me and relieve my hardship.","fa'aghithnee wa farrij `annee",,,
"فَاغِثْنِي وَفَرِّجْ عَنِّي","O He Who accepts the little (deed) and overlooks the much (wrong)!","ya man yaqbalu alyaseera wa ya`fu `an alkatheera",,,
"يَا مَنْ يَقْبَلُ ٱلْيَسِيرَ وَيَعْفُو عَنِ ٱلْكَثِيرِ","Accept my little (deed) and overlook my much (wrong).","iqbal minnee alyaseera wa`fu `annee alkatheera",,,
"ٱقْبَلْ مِنِّيَ ٱلْيَسِيرَ وَٱعْفُ عَنِّيَ ٱلْكَثِيرَ","You are certainly the All-merciful, the All-forgiving.","innaka anta alghafuru alrraheemu",,,
"إِنَّكَ انْتَ ٱلرَّحِيمُ ٱلْغَفُورُ","O Allah, I pray You for faith that covers my heart","allahumma innee as'aluka eemanan tubashiru bihee qalbee",,,
"اَللَّهُمَّ إِنِّي اسْالُكَ إِيـمَاناً تُبَاشِرُ بِهِ قَلْبِي","and for honest conviction so that I will believe that nothing will inflict me save that about which You have already known.","wa yaqeenan ¥adiqan hatta a`lama annahu lan yu¥eebanee illa ma katabta lee",,,
"وَيَقِيناً صَادِقاً حَتَّىٰ اعْلَمَ انَّهُ لَنْ يُصِيبَنِي إِلاَّ مَا كَتَبْتَ لِي","Make me be satisfied with my livelihood that You have decided for me.","wa rainee min al`ayshi bima qasamta lee",,,
"وَرَضِّنِي مِنَ ٱلْعَيْشِ بِمَا قَسَمْتَ لِي","O most Merciful of all those who show mercy!","ya arhama alrrahimeena",,,
